,brand,segment,month_end,AUC
480,SIENNA,3. thin_prime,2020-07-31,0.0
481,SIENNA,3. thin_prime,2020-08-31,0.0
482,SIENNA,3. thin_prime,2020-09-30,0.0
483,SIENNA,3. thin_prime,2020-10-31,0.0
484,SIENNA,3. thin_prime,2020-11-30,0.0
485,SIENNA,3. thin_prime,2020-12-31,0.0
486,SIENNA,3. thin_prime,2021-01-31,0.0
487,SIENNA,3. thin_prime,2021-02-28,0.0
488,SIENNA,3. thin_prime,2021-03-31,0.0
489,SIENNA,3. thin_prime,2021-04-30,0.0
490,SIENNA,3. thin_prime,2021-05-31,0.0
491,SIENNA,3. thin_prime,2021-09-30,0.0
492,SIENNA,3. thin_prime,2021-07-31,0.0
493,SIENNA,3. thin_prime,2021-06-30,0.0
494,SIENNA,3. thin_prime,2021-10-31,0.0
495,SIENNA,3. thin_prime,2021-11-30,0.0
496,SIENNA,3. thin_prime,2021-08-31,0.0
497,SIENNA,3. thin_prime,2021-12-31,0.0
498,SIENNA,3. thin_prime,2022-01-31,0.0
499,SIENNA,3. thin_prime,2022-02-28,0.0
500,SIENNA,3. thin_prime,2022-03-31,0.0
501,SIENNA,3. thin_prime,2022-05-31,0.0
502,SIENNA,3. thin_prime,2022-04-30,0.0
503,SIENNA,3. thin_prime,2022-06-30,0.0
504,SIENNA,3. thin_prime,2022-07-31,0.0
505,SIENNA,3. thin_prime,2022-08-31,0.0
506,SIENNA,3. thin_prime,2022-09-30,0.0
507,SIENNA,3. thin_prime,2022-10-31,0.0
508,SIENNA,3. thin_prime,2022-11-30,0.0
509,SIENNA,3. thin_prime,2022-12-31,0.0
510,SIENNA,3. thin_prime,2023-01-31,0.0
511,SIENNA,3. thin_prime,2023-02-28,0.0
512,SIENNA,3. thin_prime,2023-03-31,0.0
513,SIENNA,3. thin_prime,2023-05-31,0.0
514,SIENNA,3. thin_prime,2023-06-30,0.0
515,SIENNA,3. thin_prime,2023-04-30,0.0
516,SIENNA,3. thin_prime,2023-08-31,0.4070710784313727
