,Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
1894,8,70,8-70,Leaf,,,,,0.0151941031,4.13137531,
1895,8,71,8-71,avg_dpd_last9Mo,0.5,8-137,8-138,8-138,9.29368401,94.8521118,
1896,8,72,8-72,RE28_backfill,24700.0,8-139,8-140,8-140,2.29832458,33.432457,
1897,8,73,8-73,avg_dpd_last9Mo,93.0,8-141,8-142,8-142,24.835022,600.251892,
1898,8,74,8-74,GO21_backfill,0.5,8-143,8-144,8-144,18.2965088,203.381256,
1899,8,75,8-75,deposits_amount,0.730000019,8-145,8-146,8-146,17.4433594,3996.31543,
1900,8,76,8-76,RE28_backfill,1075.0,8-147,8-148,8-148,13.5112,455.485931,
1901,8,77,8-77,amountOverLimit,55.2600021,8-149,8-150,8-150,20.5948563,399.469574,
1902,8,78,8-78,3MoInterestAvg,74.9133301,8-151,8-152,8-152,14.494812,659.412537,
1903,8,79,8-79,last_nonNull_CVSC100,524.5,8-153,8-154,8-154,15.621254,366.999268,
1904,8,80,8-80,AM04_backfill,0.5,8-155,8-156,8-156,6.11069489,78.39254,
1905,8,81,8-81,avg_dpd_last3Mo,72.5,8-157,8-158,8-158,4.96827698,68.7210388,
1906,8,82,8-82,last_nonNull_CVSC100,601.5,8-159,8-160,8-160,0.751873016,29.70364,
1907,8,83,8-83,utilization,1.02524996,8-161,8-162,8-162,1.57870483,72.4111862,
1908,8,84,8-84,avg_dpd_last3Mo,34.5,8-163,8-164,8-164,12.40802,722.568115,
1909,8,85,8-85,amountOverLimit,17.1149998,8-165,8-166,8-166,10.8854046,49.407795,
1910,8,86,8-86,3MoInterestAvg,23.8816681,8-167,8-168,8-167,16.4137764,825.608337,
1911,8,87,8-87,amountOverLimit,6.55000019,8-169,8-170,8-170,19.6581383,409.384216,
1912,8,88,8-88,last_nonNull_CVSC100,633.5,8-171,8-172,8-172,14.0193787,423.14444,
1913,8,89,8-89,deposits_amount,50.0100021,8-173,8-174,8-174,6.72113037,604.065674,
1914,8,90,8-90,deposits_amount,85.2449951,8-175,8-176,8-176,16.1371155,738.983398,
1915,8,91,8-91,last3MonthUtilization,0.885802925,8-177,8-178,8-178,10.5035219,126.502266,
1916,8,92,8-92,max_dpd_last6Mo,21.5,8-179,8-180,8-180,2.68600178,8.08997059,
1917,8,93,8-93,GO152_backfill,4.5,8-181,8-182,8-182,3.22359657,26.5893631,
1918,8,94,8-94,RE28_backfill,8650.0,8-183,8-184,8-184,9.35457993,22.2393875,
1919,8,95,8-95,last_nonNull_CVSC100,659.5,8-185,8-186,8-186,0.60345459,581.992798,
1920,8,96,8-96,Leaf,,,,,-0.124878548,9850.66113,
1921,8,97,8-97,Leaf,,,,,-0.0484572314,3.03401899,
1922,8,98,8-98,last3MonthUtilization,0.381106675,8-187,8-188,8-188,0.536865234,1130.56091,
1923,8,99,8-99,3MoInterestAvg,0.541666687,8-189,8-190,8-190,4.33624268,499.345734,
1924,8,100,8-100,utilization,0.00444999989,8-191,8-192,8-192,12.8554764,149.904343,
1925,8,101,8-101,GO21_backfill,2.5,8-193,8-194,8-194,3.66247559,1378.97205,
1926,8,102,8-102,3MoInterestAvg,12.3933334,8-195,8-196,8-196,1.78173828,3102.0188,
1927,8,103,8-103,Leaf,,,,,-0.126856893,47737.1328,
1928,8,104,8-104,GO21_backfill,5.5,8-197,8-198,8-198,1.05371094,5715.74658,
1929,8,107,8-107,Leaf,,,,,-0.120434202,424.812958,
1930,8,108,8-108,avg_dpd_last3Mo,57.5,8-199,8-200,8-200,11.3399658,559.882629,
1931,8,109,8-109,3MoInterestAvg,55.2566681,8-201,8-202,8-201,0.430175781,4216.51123,
1932,8,110,8-110,utilization,0.45174998,8-203,8-204,8-204,2.60036826,8.81978703,
1933,8,111,8-111,max_dpd_last6Mo,31.5,8-205,8-206,8-206,2.56884766,2308.5957,
1934,8,112,8-112,deposits_amount,94.5250015,8-207,8-208,8-208,5.26318359,760.165039,
1935,8,113,8-113,deposits_amount,333.924988,8-209,8-210,8-210,6.68920898,1544.94702,
1936,8,114,8-114,deposits_amount,500.279999,8-211,8-212,8-212,9.38117599,88.2482376,
1937,8,115,8-115,RE28_backfill,23006.5,8-213,8-214,8-214,2.0625,2804.25415,
1938,8,116,8-116,RE28_backfill,4000.0,8-215,8-216,8-216,5.78789234,22.875782,
1939,8,117,8-117,Leaf,,,,,-0.096423693,4.86965084,
1940,8,118,8-118,Leaf,,,,,0.0336242542,3.13956523,
1941,8,119,8-119,avg_dpd_last3Mo,20.5,8-217,8-218,8-218,9.88651276,187.201324,
1942,8,120,8-120,3MoInterestAvg,26.9266663,8-219,8-220,8-220,3.67968082,28.394249,
1943,8,121,8-121,amountOverLimit,271.140015,8-221,8-222,8-222,11.8034973,647.960022,
1944,8,122,8-122,3MoInterestAvg,96.5200043,8-223,8-224,8-224,7.01043701,134.010162,
1945,8,123,8-123,3MoInterestAvg,112.553329,8-225,8-226,8-226,4.25720215,545.804688,
1946,8,124,8-124,AM04_backfill,0.5,8-227,8-228,8-228,8.32208729,28.1510029,
1947,8,125,8-125,Leaf,,,,,0.0523314774,5.34442329,
1948,8,126,8-126,avg_dpd_last9Mo,74.5,8-229,8-230,8-230,3.68790579,19.9310341,
1949,8,127,8-127,Leaf,,,,,-0.104766086,171.912872,
1950,8,128,8-128,Leaf,,,,,-0.025399683,3.07685637,
1951,8,129,8-129,Leaf,,,,,0.0227292478,6.9027338,
1952,8,130,8-130,Leaf,,,,,-0.096577093,6.97599745,
1953,8,131,8-131,Leaf,,,,,-0.122624151,2053.69653,
1954,8,132,8-132,Leaf,,,,,-0.115375929,874.022949,
1955,8,133,8-133,Leaf,,,,,-0.0643453673,15.8474598,
1956,8,134,8-134,Leaf,,,,,0.0279774368,14.557662,
1957,8,135,8-135,Leaf,,,,,-0.108132362,271.266571,
1958,8,136,8-136,Leaf,,,,,-0.0843755975,59.657383,
1959,8,137,8-137,Leaf,,,,,0.0323940404,43.0749245,
1960,8,138,8-138,Leaf,,,,,-0.0298123416,51.7771873,
1961,8,139,8-139,Leaf,,,,,0.116217747,30.3529968,
1962,8,140,8-140,Leaf,,,,,0.0187021997,3.07946086,
1963,8,141,8-141,Leaf,,,,,-0.0744588748,594.333069,
1964,8,142,8-142,Leaf,,,,,0.118093513,5.91883421,
1965,8,143,8-143,Leaf,,,,,-0.0856709406,36.6053734,
1966,8,144,8-144,Leaf,,,,,-0.00838867482,166.775894,
1967,8,145,8-145,Leaf,,,,,-0.0741290525,297.090973,
1968,8,146,8-146,Leaf,,,,,-0.0999584422,3699.22461,
1969,8,147,8-147,Leaf,,,,,-0.024800038,58.4725533,
1970,8,148,8-148,Leaf,,,,,-0.0768228546,397.013367,
1971,8,149,8-149,Leaf,,,,,-0.055593051,382.962402,
1972,8,150,8-150,Leaf,,,,,0.0560049824,16.5071487,
1973,8,151,8-151,Leaf,,,,,-0.0813464671,632.90802,
1974,8,152,8-152,Leaf,,,,,-0.00564319221,26.5045414,
1975,8,153,8-153,Leaf,,,,,0.0544964857,33.0271072,
1976,8,154,8-154,Leaf,,,,,-0.0166404918,333.972168,
1977,8,155,8-155,Leaf,,,,,0.0553971939,67.3467865,
1978,8,156,8-156,Leaf,,,,,-0.023058515,11.0457563,
1979,8,157,8-157,Leaf,,,,,0.0368127786,55.4756622,
1980,8,158,8-158,Leaf,,,,,0.104595162,13.2453814,
1981,8,159,8-159,Leaf,,,,,0.119591594,26.560194,
1982,8,160,8-160,Leaf,,,,,0.0451122969,3.14344573,
1983,8,161,8-161,Leaf,,,,,-0.10567981,69.2358932,
1984,8,162,8-162,Leaf,,,,,-0.024223024,3.17529225,
1985,8,163,8-163,Leaf,,,,,-0.0601738691,392.083679,
1986,8,164,8-164,Leaf,,,,,-0.0336629413,330.484436,
